idno,complex_id,protein_id
27,Arp2/3 protein complex,P61158
27,Arp2/3 protein complex,P61160
29,PA28gamma complex,P61289
30,PA28 complex,Q06323
30,PA28 complex,Q9UL46
32,PA700 complex,O00231
32,PA700 complex,O00232
32,PA700 complex,O00233
32,PA700 complex,O00487
32,PA700 complex,O43242
32,PA700 complex,O75832
32,PA700 complex,P17980
32,PA700 complex,P35998
32,PA700 complex,P43686
32,PA700 complex,P48556
32,PA700 complex,P51665
32,PA700 complex,P55036
32,PA700 complex,P62191
32,PA700 complex,P62195
32,PA700 complex,P62333
32,PA700 complex,Q13200
32,PA700 complex,Q15008
32,PA700 complex,Q16401
32,PA700 complex,Q99460
32,PA700 complex,Q9UNM6
36,AP1 adaptor complex,O43747
36,AP1 adaptor complex,O75843
36,AP1 adaptor complex,P56377
36,AP1 adaptor complex,P61966
36,AP1 adaptor complex,Q10567
36,AP1 adaptor complex,Q96PC3
36,AP1 adaptor complex,Q9BXS5
36,AP1 adaptor complex,Q9Y6Q5
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",P49768
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",Q92542
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",Q96BI3
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",Q9NZ42
49,DNMT3B complex,O60264
49,DNMT3B complex,O95239
49,DNMT3B complex,O95347
49,DNMT3B complex,Q13547
49,DNMT3B complex,Q96ST3
49,DNMT3B complex,Q9NTJ3
49,DNMT3B complex,Q9UBC3
50,RAB5A-RABEP1-RABGEF complex,P20339
50,RAB5A-RABEP1-RABGEF complex,Q15276
50,RAB5A-RABEP1-RABGEF complex,Q9UJ41
55,HDAC4-ERK1 complex,P27361
55,HDAC4-ERK1 complex,P56524
57,HDAC4-ERK2 complex,P28482
57,HDAC4-ERK2 complex,P56524
58,SMRT complex,O15379
58,SMRT complex,O60907
58,SMRT complex,Q13227
58,SMRT complex,Q9BZK7
58,SMRT complex,Q9Y618
59,AP3 adaptor complex,O00203
59,AP3 adaptor complex,O14617
59,AP3 adaptor complex,P53677
59,AP3 adaptor complex,P59780
59,AP3 adaptor complex,Q13367
59,AP3 adaptor complex,Q92572
59,AP3 adaptor complex,Q9Y2T2
61,Mi2/NuRD complex,O94776
61,Mi2/NuRD complex,O95983
61,Mi2/NuRD complex,Q09028
61,Mi2/NuRD complex,Q13547
61,Mi2/NuRD complex,Q14839
61,Mi2/NuRD complex,Q16576
61,Mi2/NuRD complex,Q92769
62,MeCP1 complex,O94776
62,MeCP1 complex,O95983
62,MeCP1 complex,Q09028
62,MeCP1 complex,Q13547
62,MeCP1 complex,Q14839
62,MeCP1 complex,Q16576
62,MeCP1 complex,Q92769
62,MeCP1 complex,Q9UBB5
66,TRAP complex,O60244
66,TRAP complex,O75448
66,TRAP complex,P10827
66,TRAP complex,Q15648
66,TRAP complex,Q93074
66,TRAP complex,Q9NVC6
66,TRAP complex,Q9Y2W1
66,TRAP complex,Q9Y2X0
67,AP4 adaptor complex,O00189
67,AP4 adaptor complex,Q9UPM8
67,AP4 adaptor complex,Q9Y587
67,AP4 adaptor complex,Q9Y6B7
68,BCDX2 complex,O15315
68,BCDX2 complex,O43502
68,BCDX2 complex,O43543
68,BCDX2 complex,O75771
72,R/M complex (RAD50-MRE11 complex),P49959
72,R/M complex (RAD50-MRE11 complex),Q92878
74,HOMER3-IP3R-TRPC1 complex,P48995
74,HOMER3-IP3R-TRPC1 complex,Q14573
74,HOMER3-IP3R-TRPC1 complex,Q9NSC5
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",P62877
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",P63208
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",Q14999
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",Q8N3Y1
86,NUMAC complex (nucleosomal methylation activator complex),O14497
86,NUMAC complex (nucleosomal methylation activator complex),P51532
86,NUMAC complex (nucleosomal methylation activator complex),P60709
86,NUMAC complex (nucleosomal methylation activator complex),Q12824
86,NUMAC complex (nucleosomal methylation activator complex),Q86X55
86,NUMAC complex (nucleosomal methylation activator complex),Q8TAQ2
86,NUMAC complex (nucleosomal methylation activator complex),Q92922
86,NUMAC complex (nucleosomal methylation activator complex),Q969G3
86,NUMAC complex (nucleosomal methylation activator complex),Q96GM5
86,NUMAC complex (nucleosomal methylation activator complex),Q96KG9
87,Nup 107-160 subcomplex,P52948
87,Nup 107-160 subcomplex,P55735
87,Nup 107-160 subcomplex,P57740
87,Nup 107-160 subcomplex,Q12769
87,Nup 107-160 subcomplex,Q8NFH3
87,Nup 107-160 subcomplex,Q8NFH4
87,Nup 107-160 subcomplex,Q8WUM0
87,Nup 107-160 subcomplex,Q96EE3
87,Nup 107-160 subcomplex,Q9BW27
91,"FA complex (Fanconi anemia complex), cytoplasmic",O15287
91,"FA complex (Fanconi anemia complex), cytoplasmic",O15360
91,"FA complex (Fanconi anemia complex), cytoplasmic",Q00597
91,"FA complex (Fanconi anemia complex), cytoplasmic",Q9NPI8
92,CD28-transactivation complex,P10747
92,CD28-transactivation complex,P19338
93,Anaphase-promoting complex,P30260
93,Anaphase-promoting complex,Q13042
93,Anaphase-promoting complex,Q9H1A4
93,Anaphase-promoting complex,Q9UJX2
93,Anaphase-promoting complex,Q9UJX3
93,Anaphase-promoting complex,Q9UJX4
93,Anaphase-promoting complex,Q9UJX5
93,Anaphase-promoting complex,Q9UJX6
95,Ku antigen-NARG1 complex,P12956
95,Ku antigen-NARG1 complex,P13010
95,Ku antigen-NARG1 complex,Q9BXJ9
96,Anaphase-promoting complex,P30260
96,Anaphase-promoting complex,Q13042
96,Anaphase-promoting complex,Q9H1A4
96,Anaphase-promoting complex,Q9UJX2
96,Anaphase-promoting complex,Q9UJX3
96,Anaphase-promoting complex,Q9UJX4
96,Anaphase-promoting complex,Q9UJX5
96,Anaphase-promoting complex,Q9UJX6
96,Anaphase-promoting complex,Q9UM13
98,p300-MDM2-p53 protein complex,P04637
98,p300-MDM2-p53 protein complex,Q00987
98,p300-MDM2-p53 protein complex,Q09472
100,hNURF complex,P28370
100,hNURF complex,Q09028
100,hNURF complex,Q12830
100,hNURF complex,Q16576
103,RNA polymerase II holoenzyme complex,O15514
103,RNA polymerase II holoenzyme complex,P13984
103,RNA polymerase II holoenzyme complex,P18074
103,RNA polymerase II holoenzyme complex,P19387
103,RNA polymerase II holoenzyme complex,P19388
103,RNA polymerase II holoenzyme complex,P19447
103,RNA polymerase II holoenzyme complex,P20226
103,RNA polymerase II holoenzyme complex,P24928
103,RNA polymerase II holoenzyme complex,P29083
103,RNA polymerase II holoenzyme complex,P29084
103,RNA polymerase II holoenzyme complex,P30876
103,RNA polymerase II holoenzyme complex,P32780
103,RNA polymerase II holoenzyme complex,P35269
103,RNA polymerase II holoenzyme complex,P36954
103,RNA polymerase II holoenzyme complex,P52434
103,RNA polymerase II holoenzyme complex,P52435
103,RNA polymerase II holoenzyme complex,P53803
103,RNA polymerase II holoenzyme complex,P61218
103,RNA polymerase II holoenzyme complex,P62487
103,RNA polymerase II holoenzyme complex,P62875
103,RNA polymerase II holoenzyme complex,Q00403
103,RNA polymerase II holoenzyme complex,Q13888
103,RNA polymerase II holoenzyme complex,Q13889
103,RNA polymerase II holoenzyme complex,Q92759
104,RNA polymerase II core complex,O15514
104,RNA polymerase II core complex,P19387
104,RNA polymerase II core complex,P19388
104,RNA polymerase II core complex,P24928
104,RNA polymerase II core complex,P30876
104,RNA polymerase II core complex,P36954
104,RNA polymerase II core complex,P52434
104,RNA polymerase II core complex,P52435
104,RNA polymerase II core complex,P53803
104,RNA polymerase II core complex,P61218
104,RNA polymerase II core complex,P62487
104,RNA polymerase II core complex,P62875
107,TFIIH transcription factor complex,P18074
107,TFIIH transcription factor complex,P19447
107,TFIIH transcription factor complex,P32780
107,TFIIH transcription factor complex,P50613
107,TFIIH transcription factor complex,P51946
107,TFIIH transcription factor complex,P51948
107,TFIIH transcription factor complex,Q13888
107,TFIIH transcription factor complex,Q13889
107,TFIIH transcription factor complex,Q92759
112,Prefoldin complex,O15212
112,Prefoldin complex,O60925
112,Prefoldin complex,P61758
112,Prefoldin complex,Q99471
112,Prefoldin complex,Q9NQP4
112,Prefoldin complex,Q9UHV9
114,SNAPc (small nuclear RNA-activating protein) complex,O75971
114,SNAPc (small nuclear RNA-activating protein) complex,Q13487
114,SNAPc (small nuclear RNA-activating protein) complex,Q16533
114,SNAPc (small nuclear RNA-activating protein) complex,Q5SXM2
114,SNAPc (small nuclear RNA-activating protein) complex,Q92966
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",O00257
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",O60264
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P0DMV8
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P35226
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P78364
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q06587
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q14781
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q8IXK0
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q8NDX5
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q96GD3
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q99496
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q9HC52
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",O00257
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",O60264
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P0DMV8
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P25490
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P35226
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",P78364
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q06587
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q14781
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q8IXK0
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q8NDX5
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q96GD3
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q99496
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Q9HC52
117,GPR56-CD81-Galpha(q/11)-Gbeta complex,P29992
117,GPR56-CD81-Galpha(q/11)-Gbeta complex,P50148
117,GPR56-CD81-Galpha(q/11)-Gbeta complex,P60033
117,GPR56-CD81-Galpha(q/11)-Gbeta complex,P62873
117,GPR56-CD81-Galpha(q/11)-Gbeta complex,Q9Y653
118,GPI-GnT activity complex,P37287
118,GPI-GnT activity complex,Q14442
118,GPI-GnT activity complex,Q92535
118,GPI-GnT activity complex,Q9BRB3
120,Lymphotoxin beta receptor complex,P01374
120,Lymphotoxin beta receptor complex,P36941
120,Lymphotoxin beta receptor complex,Q06643
123,Rnase/Mrp complex,O75817
123,Rnase/Mrp complex,O75818
123,Rnase/Mrp complex,O95059
123,Rnase/Mrp complex,O95707
123,Rnase/Mrp complex,P78345
123,Rnase/Mrp complex,P78346
123,Rnase/Mrp complex,Q969H6
123,Rnase/Mrp complex,Q99575
123,Rnase/Mrp complex,Q9BUL9
123,Rnase/Mrp complex,Q9H633
126,CCT complex (chaperonin containing TCP1 complex),P17987
126,CCT complex (chaperonin containing TCP1 complex),P40227
126,CCT complex (chaperonin containing TCP1 complex),P48643
126,CCT complex (chaperonin containing TCP1 complex),P49368
126,CCT complex (chaperonin containing TCP1 complex),P50990
126,CCT complex (chaperonin containing TCP1 complex),P50991
126,CCT complex (chaperonin containing TCP1 complex),P78371
126,CCT complex (chaperonin containing TCP1 complex),Q99832
127,NDC80 kinetochore complex,O14777
127,NDC80 kinetochore complex,Q8NBT2
127,NDC80 kinetochore complex,Q9BZD4
127,NDC80 kinetochore complex,Q9HBM1
129,PIDDsome complex,P42575
129,PIDDsome complex,P78560
129,PIDDsome complex,Q9HB75
138,Telomere-associated protein complex,P54274
138,Telomere-associated protein complex,Q15554
138,Telomere-associated protein complex,Q96AP0
138,Telomere-associated protein complex,Q9BSI4
138,Telomere-associated protein complex,Q9NUX5
138,Telomere-associated protein complex,Q9NYB0
140,E-box sequence-binding complex,P25791
140,E-box sequence-binding complex,Q02577
140,E-box sequence-binding complex,Q86U70
140,E-box sequence-binding complex,Q9BXY8
142,CD147-gamma-secretase complex,P35613
142,CD147-gamma-secretase complex,P49768
142,CD147-gamma-secretase complex,Q92542
142,CD147-gamma-secretase complex,Q96BI3
142,CD147-gamma-secretase complex,Q9NZ42
143,APP695-APBB1-LRP1 complex,O00213
143,APP695-APBB1-LRP1 complex,P05067-4
143,APP695-APBB1-LRP1 complex,Q07954
144,Gamma-BAR-AP1 complex,O43747
144,Gamma-BAR-AP1 complex,O75843
144,Gamma-BAR-AP1 complex,P56377
144,Gamma-BAR-AP1 complex,P61966
144,Gamma-BAR-AP1 complex,Q10567
144,Gamma-BAR-AP1 complex,Q63HQ0
144,Gamma-BAR-AP1 complex,Q96PC3
144,Gamma-BAR-AP1 complex,Q9BXS5
144,Gamma-BAR-AP1 complex,Q9Y6Q5
149,PBAF complex (Polybromo- and BAF containing complex),O96019
149,PBAF complex (Polybromo- and BAF containing complex),P51532
149,PBAF complex (Polybromo- and BAF containing complex),P60709
149,PBAF complex (Polybromo- and BAF containing complex),Q12824
149,PBAF complex (Polybromo- and BAF containing complex),Q68CP9
149,PBAF complex (Polybromo- and BAF containing complex),Q86U86
149,PBAF complex (Polybromo- and BAF containing complex),Q8TAQ2
149,PBAF complex (Polybromo- and BAF containing complex),Q92922
149,PBAF complex (Polybromo- and BAF containing complex),Q969G3
149,PBAF complex (Polybromo- and BAF containing complex),Q96GM5
152,TFIIE complex,P29083
152,TFIIE complex,P29084
153,TFIIF complex (transcription factor IIF),P13984
153,TFIIF complex (transcription factor IIF),P35269
155,TFIID complex,O00268
155,TFIID complex,P20226
155,TFIID complex,P21675
155,TFIID complex,P49848
155,TFIID complex,Q12962
155,TFIID complex,Q15542
155,TFIID complex,Q15544
155,TFIID complex,Q16594
155,TFIID complex,Q6P1X5
156,Retrotranslocation complex,P57678
156,Retrotranslocation complex,Q86TM6
156,Retrotranslocation complex,Q9BUN8
159,Condensin I-PARP-1-XRCC1 complex,O95347
159,Condensin I-PARP-1-XRCC1 complex,P09874
159,Condensin I-PARP-1-XRCC1 complex,P18887
159,Condensin I-PARP-1-XRCC1 complex,Q15003
159,Condensin I-PARP-1-XRCC1 complex,Q15021
159,Condensin I-PARP-1-XRCC1 complex,Q9BPX3
159,Condensin I-PARP-1-XRCC1 complex,Q9NTJ3
160,Condensin II,O95347
160,Condensin II,P42695
160,Condensin II,Q6IBW4
160,Condensin II,Q86XI2
160,Condensin II,Q9NTJ3
162,COG complex,P83436
162,COG complex,Q14746
162,COG complex,Q8WTW3
162,COG complex,Q96JB2
162,COG complex,Q96MW5
162,COG complex,Q9H9E3
162,COG complex,Q9UP83
162,COG complex,Q9Y2V7
164,Cohesin-SA1 complex,O60216
164,Cohesin-SA1 complex,Q14683
164,Cohesin-SA1 complex,Q8WVM7
164,Cohesin-SA1 complex,Q9UQE7
166,Cohesin-SA2 complex,O60216
166,Cohesin-SA2 complex,Q14683
166,Cohesin-SA2 complex,Q8N3U4
166,Cohesin-SA2 complex,Q9UQE7
168,"Protein-sorting ternary complex (EPS15, HGS, STAM2)",O14964
168,"Protein-sorting ternary complex (EPS15, HGS, STAM2)",O75886
168,"Protein-sorting ternary complex (EPS15, HGS, STAM2)",P42566
169,"Protein-sorting ternary complex (EPS15, HGS, STAM1)",O14964
169,"Protein-sorting ternary complex (EPS15, HGS, STAM1)",P42566
169,"Protein-sorting ternary complex (EPS15, HGS, STAM1)",Q92783
173,MRN complex,O60934
173,MRN complex,P49959
173,MRN complex,Q92878
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O00217
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O00483
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O14561
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O15239
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O43181
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O43674
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O43676
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O43677
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O43678
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O43920
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O75251
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O75306
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O75380
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O75438
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O75489
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95139
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95167
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95168
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95169
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95178
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95182
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95298
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O95299
178,"Respiratory chain complex I (holoenzyme), mitochondrial",O96000
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P03886
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P03891
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P03897
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P03901
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P03915
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P03923
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P17568
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P19404
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P28331
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P49821
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P51970
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P56181
178,"Respiratory chain complex I (holoenzyme), mitochondrial",P56556
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q16718
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q16795
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q86Y39
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q9NX14
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q9P0J0
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q9UI09
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Q9Y6M9
180,PNUTS-PPP1CA complex,P62136
180,PNUTS-PPP1CA complex,Q96QC0
181,26S proteasome,O14818
181,26S proteasome,P17980
181,26S proteasome,P20618
181,26S proteasome,P25786
181,26S proteasome,P25787
181,26S proteasome,P25788
181,26S proteasome,P25789
181,26S proteasome,P28066
181,26S proteasome,P28070
181,26S proteasome,P28072
181,26S proteasome,P28074
181,26S proteasome,P35998
181,26S proteasome,P43686
181,26S proteasome,P49720
181,26S proteasome,P49721
181,26S proteasome,P55036
181,26S proteasome,P60900
181,26S proteasome,P62191
181,26S proteasome,P62195
181,26S proteasome,P62333
181,26S proteasome,Q99436
181,26S proteasome,Q9UNM6
186,Wave-2 complex,Q7L576
186,Wave-2 complex,Q8IZP0
186,Wave-2 complex,Q8WUW1
186,Wave-2 complex,Q9Y2A7
186,Wave-2 complex,Q9Y6W5
189,BAF complex,O14497
189,BAF complex,O94805
189,BAF complex,O96019
189,BAF complex,P51531
189,BAF complex,P51532
189,BAF complex,P60709
189,BAF complex,P63261
189,BAF complex,Q12824
189,BAF complex,Q8NFD5
189,BAF complex,Q8TAQ2
189,BAF complex,Q92922
189,BAF complex,Q969G3
189,BAF complex,Q96GM5
190,Mitotic checkpoint complex,O43684
190,Mitotic checkpoint complex,O60566
190,Mitotic checkpoint complex,Q12834
190,Mitotic checkpoint complex,Q13257
192,PA28-20S proteasome,O14818
192,PA28-20S proteasome,P20618
192,PA28-20S proteasome,P25786
192,PA28-20S proteasome,P25787
192,PA28-20S proteasome,P25788
192,PA28-20S proteasome,P25789
192,PA28-20S proteasome,P28066
192,PA28-20S proteasome,P28070
192,PA28-20S proteasome,P28072
192,PA28-20S proteasome,P28074
192,PA28-20S proteasome,P49720
192,PA28-20S proteasome,P49721
192,PA28-20S proteasome,P60900
192,PA28-20S proteasome,Q06323
192,PA28-20S proteasome,Q99436
192,PA28-20S proteasome,Q9UL46
193,PA700-20S-PA28 complex,O00231
193,PA700-20S-PA28 complex,O00232
193,PA700-20S-PA28 complex,O00233
193,PA700-20S-PA28 complex,O00487
193,PA700-20S-PA28 complex,O14818
193,PA700-20S-PA28 complex,O43242
193,PA700-20S-PA28 complex,O75832
193,PA700-20S-PA28 complex,P17980
193,PA700-20S-PA28 complex,P20618
193,PA700-20S-PA28 complex,P25786
193,PA700-20S-PA28 complex,P25787
193,PA700-20S-PA28 complex,P25788
193,PA700-20S-PA28 complex,P25789
193,PA700-20S-PA28 complex,P28066
193,PA700-20S-PA28 complex,P28070
193,PA700-20S-PA28 complex,P28072
193,PA700-20S-PA28 complex,P28074
193,PA700-20S-PA28 complex,P35998
193,PA700-20S-PA28 complex,P43686
193,PA700-20S-PA28 complex,P48556
193,PA700-20S-PA28 complex,P49720
193,PA700-20S-PA28 complex,P49721
193,PA700-20S-PA28 complex,P51665
193,PA700-20S-PA28 complex,P55036
193,PA700-20S-PA28 complex,P60900
193,PA700-20S-PA28 complex,P62191
193,PA700-20S-PA28 complex,P62195
193,PA700-20S-PA28 complex,P62333
193,PA700-20S-PA28 complex,Q06323
193,PA700-20S-PA28 complex,Q13200
193,PA700-20S-PA28 complex,Q15008
193,PA700-20S-PA28 complex,Q16401
193,PA700-20S-PA28 complex,Q99436
193,PA700-20S-PA28 complex,Q99460
193,PA700-20S-PA28 complex,Q9UL46
193,PA700-20S-PA28 complex,Q9UNM6
194,PA28gamma-20S proteasome,O14818
194,PA28gamma-20S proteasome,P20618
194,PA28gamma-20S proteasome,P25786
194,PA28gamma-20S proteasome,P25787
194,PA28gamma-20S proteasome,P25788
194,PA28gamma-20S proteasome,P25789
194,PA28gamma-20S proteasome,P28066
194,PA28gamma-20S proteasome,P28070
194,PA28gamma-20S proteasome,P28072
194,PA28gamma-20S proteasome,P28074
194,PA28gamma-20S proteasome,P49720
194,PA28gamma-20S proteasome,P49721
194,PA28gamma-20S proteasome,P60900
194,PA28gamma-20S proteasome,P61289
194,PA28gamma-20S proteasome,Q99436
201,HUIC complex,P38398
201,HUIC complex,Q99728
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",P40337
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",P62877
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",Q13617
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",Q15369
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",Q15370
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",Q15369
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",Q15370
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",Q93034
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",Q96Q27
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",Q9UBF6
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",Q15369
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",Q15370
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",Q93034
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",Q9UBF6
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",Q9Y576
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",Q15369
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",Q15370
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",Q93034
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",Q9NWX5
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",Q9UBF6
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",Q15369
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",Q15370
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",Q93034
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",Q9H672
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",Q9UBF6
211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)",Q15369
211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)",Q15370
211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)",Q8WXK4
